0.00.938.819 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.939.137 W srv  llama_server: -----------------
0.00.939.139 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.939.139 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.939.139 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.939.140 W srv  llama_server: -----------------
0.00.940.506 I srv    load_model: loading model '/home/REDACTED/Bonsai-demo/models/bonsai2-gguf/27B/Ternary-Bonsai-2-27B-PQ2_0.gguf'
0.08.368.481 I cmn          init: llama threadpool init, n_threads = 20
0.09.282.420 I srv    load_model: initializing, n_slots = 12, n_ctx_slot = 1024, kv_unified = 'false'
0.09.286.239 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.09.286.284 I srv  llama_server: model loaded
0.09.286.288 I srv  llama_server: listening on http://127.0.0.1:8095
1.54.965.156 I slot get_availabl: id 11 | task -1 | selected slot by LRU, t_last = -1
2.58.447.186 I slot print_timing: id  5 | task 72 | n_gen =    160, tg =   3.40 t/s, tg_3s =   3.87 t/s
2.58.447.708 I slot print_timing: id  6 | task 71 | n_gen =    160, tg =   3.40 t/s, tg_3s =   3.87 t/s
2.58.448.238 I slot print_timing: id  7 | task 70 | n_gen =    160, tg =   3.40 t/s, tg_3s =   3.87 t/s
2.58.448.796 I slot print_timing: id  8 | task 69 | n_gen =    160, tg =   3.41 t/s, tg_3s =   3.87 t/s
2.58.449.330 I slot print_timing: id  9 | task 68 | n_gen =    160, tg =   3.41 t/s, tg_3s =   3.87 t/s
2.58.449.856 I slot print_timing: id 10 | task 67 | n_gen =    160, tg =   3.41 t/s, tg_3s =   3.87 t/s
2.58.450.719 I slot print_timing: id 11 | task 66 | n_gen =    160, tg =   3.41 t/s, tg_3s =   3.87 t/s
3.01.540.334 I slot print_timing: id  0 | task 77 | n_gen =    172, tg =   3.43 t/s, tg_3s =   3.88 t/s
3.01.540.907 I slot print_timing: id  1 | task 76 | n_gen =    172, tg =   3.43 t/s, tg_3s =   3.88 t/s
3.01.541.523 I slot print_timing: id  2 | task 75 | n_gen =    172, tg =   3.43 t/s, tg_3s =   3.88 t/s
3.01.542.061 I slot print_timing: id  3 | task 74 | n_gen =    172, tg =   3.43 t/s, tg_3s =   3.88 t/s
3.01.542.695 I slot print_timing: id  4 | task 73 | n_gen =    172, tg =   3.43 t/s, tg_3s =   3.88 t/s
3.01.543.453 I slot print_timing: id  5 | task 72 | n_gen =    172, tg =   3.43 t/s, tg_3s =   3.88 t/s
3.01.544.030 I slot print_timing: id  6 | task 71 | n_gen =    172, tg =   3.43 t/s, tg_3s =   3.88 t/s
3.01.544.759 I slot print_timing: id  7 | task 70 | n_gen =    172, tg =   3.43 t/s, tg_3s =   3.88 t/s
3.01.545.580 I slot print_timing: id  8 | task 69 | n_gen =    172, tg =   3.43 t/s, tg_3s =   3.87 t/s
3.01.546.174 I slot print_timing: id  9 | task 68 | n_gen =    172, tg =   3.43 t/s, tg_3s =   3.87 t/s
3.01.546.593 I slot print_timing: id 10 | task 67 | n_gen =    172, tg =   3.43 t/s, tg_3s =   3.88 t/s
3.01.547.193 I slot print_timing: id 11 | task 66 | n_gen =    172, tg =   3.43 t/s, tg_3s =   3.88 t/s
3.04.638.254 I slot print_timing: id  0 | task 77 | n_gen =    184, tg =   3.46 t/s, tg_3s =   3.87 t/s
3.04.639.158 I slot print_timing: id  1 | task 76 | n_gen =    184, tg =   3.46 t/s, tg_3s =   3.87 t/s
3.04.639.944 I slot print_timing: id  2 | task 75 | n_gen =    184, tg =   3.46 t/s, tg_3s =   3.87 t/s
3.04.641.246 I slot print_timing: id  3 | task 74 | n_gen =    184, tg =   3.46 t/s, tg_3s =   3.87 t/s
3.04.641.870 I slot print_timing: id  4 | task 73 | n_gen =    184, tg =   3.46 t/s, tg_3s =   3.87 t/s
3.04.642.537 I slot print_timing: id  5 | task 72 | n_gen =    184, tg =   3.46 t/s, tg_3s =   3.87 t/s
3.04.643.168 I slot print_timing: id  6 | task 71 | n_gen =    184, tg =   3.46 t/s, tg_3s =   3.87 t/s
3.04.643.619 I slot print_timing: id  7 | task 70 | n_gen =    184, tg =   3.46 t/s, tg_3s =   3.87 t/s
3.04.643.886 I slot print_timing: id  8 | task 69 | n_gen =    184, tg =   3.46 t/s, tg_3s =   3.87 t/s
3.04.644.198 I slot print_timing: id  9 | task 68 | n_gen =    184, tg =   3.46 t/s, tg_3s =   3.87 t/s
3.04.644.813 I slot print_timing: id 10 | task 67 | n_gen =    184, tg =   3.46 t/s, tg_3s =   3.87 t/s
3.04.645.130 I slot print_timing: id 11 | task 66 | n_gen =    184, tg =   3.46 t/s, tg_3s =   3.87 t/s
3.07.753.798 I slot print_timing: id  0 | task 77 | n_gen =    196, tg =   3.48 t/s, tg_3s =   3.85 t/s
3.07.754.449 I slot print_timing: id  1 | task 76 | n_gen =    196, tg =   3.48 t/s, tg_3s =   3.85 t/s
3.07.754.898 I slot print_timing: id  2 | task 75 | n_gen =    196, tg =   3.48 t/s, tg_3s =   3.85 t/s
3.07.755.527 I slot print_timing: id  3 | task 74 | n_gen =    196, tg =   3.48 t/s, tg_3s =   3.85 t/s
3.07.756.220 I slot print_timing: id  4 | task 73 | n_gen =    196, tg =   3.48 t/s, tg_3s =   3.85 t/s
3.07.756.874 I slot print_timing: id  5 | task 72 | n_gen =    196, tg =   3.48 t/s, tg_3s =   3.85 t/s
3.07.757.218 I slot print_timing: id  6 | task 71 | n_gen =    196, tg =   3.48 t/s, tg_3s =   3.85 t/s
3.07.757.701 I slot print_timing: id  7 | task 70 | n_gen =    196, tg =   3.48 t/s, tg_3s =   3.85 t/s
3.07.758.233 I slot print_timing: id  8 | task 69 | n_gen =    196, tg =   3.48 t/s, tg_3s =   3.85 t/s
3.07.758.824 I slot print_timing: id  9 | task 68 | n_gen =    196, tg =   3.48 t/s, tg_3s =   3.85 t/s
3.07.759.290 I slot print_timing: id 10 | task 67 | n_gen =    196, tg =   3.48 t/s, tg_3s =   3.85 t/s
3.07.759.631 I slot print_timing: id 11 | task 66 | n_gen =    196, tg =   3.48 t/s, tg_3s =   3.85 t/s
3.10.832.746 I slot print_timing: id  0 | task 77 | n_gen =    208, tg =   3.50 t/s, tg_3s =   3.90 t/s
3.10.833.212 I slot print_timing: id  1 | task 76 | n_gen =    208, tg =   3.50 t/s, tg_3s =   3.90 t/s
3.10.833.670 I slot print_timing: id  2 | task 75 | n_gen =    208, tg =   3.50 t/s, tg_3s =   3.90 t/s
3.10.834.238 I slot print_timing: id  3 | task 74 | n_gen =    208, tg =   3.50 t/s, tg_3s =   3.90 t/s
3.10.834.866 I slot print_timing: id  4 | task 73 | n_gen =    208, tg =   3.50 t/s, tg_3s =   3.90 t/s
3.10.835.549 I slot print_timing: id  5 | task 72 | n_gen =    208, tg =   3.50 t/s, tg_3s =   3.90 t/s
3.10.835.999 I slot print_timing: id  6 | task 71 | n_gen =    208, tg =   3.50 t/s, tg_3s =   3.90 t/s
3.10.836.526 I slot print_timing: id  7 | task 70 | n_gen =    208, tg =   3.50 t/s, tg_3s =   3.90 t/s
3.10.837.061 I slot print_timing: id  8 | task 69 | n_gen =    208, tg =   3.50 t/s, tg_3s =   3.90 t/s
3.10.837.764 I slot print_timing: id  9 | task 68 | n_gen =    208, tg =   3.50 t/s, tg_3s =   3.90 t/s
3.10.838.494 I slot print_timing: id 10 | task 67 | n_gen =    208, tg =   3.50 t/s, tg_3s =   3.90 t/s
3.10.839.103 I slot print_timing: id 11 | task 66 | n_gen =    208, tg =   3.50 t/s, tg_3s =   3.90 t/s
3.13.953.206 I slot print_timing: id  0 | task 77 | n_gen =    220, tg =   3.52 t/s, tg_3s =   3.85 t/s
3.13.953.737 I slot print_timing: id  1 | task 76 | n_gen =    220, tg =   3.52 t/s, tg_3s =   3.85 t/s
3.13.954.542 I slot print_timing: id  2 | task 75 | n_gen =    220, tg =   3.52 t/s, tg_3s =   3.85 t/s
3.13.955.335 I slot print_timing: id  3 | task 74 | n_gen =    220, tg =   3.52 t/s, tg_3s =   3.84 t/s
3.13.956.122 I slot print_timing: id  4 | task 73 | n_gen =    220, tg =   3.52 t/s, tg_3s =   3.84 t/s
3.13.957.045 I slot print_timing: id  5 | task 72 | n_gen =    220, tg =   3.52 t/s, tg_3s =   3.84 t/s
3.13.957.531 I slot print_timing: id  6 | task 71 | n_gen =    220, tg =   3.52 t/s, tg_3s =   3.84 t/s
3.13.957.939 I slot print_timing: id  7 | task 70 | n_gen =    220, tg =   3.52 t/s, tg_3s =   3.84 t/s
3.13.958.371 I slot print_timing: id  8 | task 69 | n_gen =    220, tg =   3.52 t/s, tg_3s =   3.84 t/s
3.13.958.642 I slot print_timing: id  9 | task 68 | n_gen =    220, tg =   3.52 t/s, tg_3s =   3.85 t/s
3.13.958.891 I slot print_timing: id 10 | task 67 | n_gen =    220, tg =   3.52 t/s, tg_3s =   3.85 t/s
3.13.959.284 I slot print_timing: id 11 | task 66 | n_gen =    220, tg =   3.52 t/s, tg_3s =   3.85 t/s
3.17.205.212 I slot print_timing: id  0 | task 77 | n_gen =    232, tg =   3.53 t/s, tg_3s =   3.69 t/s
3.17.206.036 I slot print_timing: id  1 | task 76 | n_gen =    232, tg =   3.53 t/s, tg_3s =   3.69 t/s
3.17.206.640 I slot print_timing: id  2 | task 75 | n_gen =    232, tg =   3.53 t/s, tg_3s =   3.69 t/s
3.17.207.174 I slot print_timing: id  3 | task 74 | n_gen =    232, tg =   3.53 t/s, tg_3s =   3.69 t/s
3.17.207.878 I slot print_timing: id  4 | task 73 | n_gen =    232, tg =   3.53 t/s, tg_3s =   3.69 t/s
3.17.208.396 I slot print_timing: id  5 | task 72 | n_gen =    232, tg =   3.53 t/s, tg_3s =   3.69 t/s
3.17.208.932 I slot print_timing: id  6 | task 71 | n_gen =    232, tg =   3.53 t/s, tg_3s =   3.69 t/s
3.17.209.501 I slot print_timing: id  7 | task 70 | n_gen =    232, tg =   3.53 t/s, tg_3s =   3.69 t/s
3.17.210.152 I slot print_timing: id  8 | task 69 | n_gen =    232, tg =   3.53 t/s, tg_3s =   3.69 t/s
3.17.210.704 I slot print_timing: id  9 | task 68 | n_gen =    232, tg =   3.53 t/s, tg_3s =   3.69 t/s
3.17.211.178 I slot print_timing: id 10 | task 67 | n_gen =    232, tg =   3.53 t/s, tg_3s =   3.69 t/s
3.17.211.785 I slot print_timing: id 11 | task 66 | n_gen =    232, tg =   3.53 t/s, tg_3s =   3.69 t/s
3.20.353.065 I slot print_timing: id  0 | task 77 | n_gen =    244, tg =   3.54 t/s, tg_3s =   3.81 t/s
3.20.353.649 I slot print_timing: id  1 | task 76 | n_gen =    244, tg =   3.54 t/s, tg_3s =   3.81 t/s
3.20.354.176 I slot print_timing: id  2 | task 75 | n_gen =    244, tg =   3.54 t/s, tg_3s =   3.81 t/s
3.20.354.858 I slot print_timing: id  3 | task 74 | n_gen =    244, tg =   3.54 t/s, tg_3s =   3.81 t/s
3.20.355.432 I slot print_timing: id  4 | task 73 | n_gen =    244, tg =   3.54 t/s, tg_3s =   3.81 t/s
3.20.356.201 I slot print_timing: id  5 | task 72 | n_gen =    244, tg =   3.54 t/s, tg_3s =   3.81 t/s
3.20.356.963 I slot print_timing: id  6 | task 71 | n_gen =    244, tg =   3.54 t/s, tg_3s =   3.81 t/s
3.20.357.744 I slot print_timing: id  7 | task 70 | n_gen =    244, tg =   3.54 t/s, tg_3s =   3.81 t/s
3.20.358.427 I slot print_timing: id  8 | task 69 | n_gen =    244, tg =   3.54 t/s, tg_3s =   3.81 t/s
3.20.358.948 I slot print_timing: id  9 | task 68 | n_gen =    244, tg =   3.54 t/s, tg_3s =   3.81 t/s
3.20.359.480 I slot print_timing: id 10 | task 67 | n_gen =    244, tg =   3.54 t/s, tg_3s =   3.81 t/s
3.20.360.240 I slot print_timing: id 11 | task 66 | n_gen =    244, tg =   3.54 t/s, tg_3s =   3.81 t/s
3.23.476.402 I slot print_timing: id  0 | task 77 | prompt eval time =    3939.72 ms /    15 tokens (  262.65 ms per token,     3.81 tokens per second)
3.23.476.409 I slot print_timing: id  0 | task 77 |        eval time =   71738.87 ms /   256 tokens (  281.33 ms per token,     3.55 tokens per second)
3.23.476.410 I slot print_timing: id  0 | task 77 |       total time =   75678.59 ms /   271 tokens
3.23.476.412 I slot print_timing: id  0 | task 77 |    graphs reused =        316
3.23.476.491 I slot      release: id  0 | task 77 | stop processing: n_tokens = 270, truncated = 0
3.23.477.024 I slot print_timing: id  1 | task 76 | prompt eval time =    3941.99 ms /    18 tokens (  219.00 ms per token,     4.57 tokens per second)
3.23.477.027 I slot print_timing: id  1 | task 76 |        eval time =   71737.21 ms /   256 tokens (  281.32 ms per token,     3.55 tokens per second)
3.23.477.028 I slot print_timing: id  1 | task 76 |       total time =   75679.20 ms /   274 tokens
3.23.477.028 I slot print_timing: id  1 | task 76 |    graphs reused =        316
3.23.477.062 I slot      release: id  1 | task 76 | stop processing: n_tokens = 273, truncated = 0
3.23.477.537 I slot print_timing: id  2 | task 75 | prompt eval time =    3943.86 ms /    16 tokens (  246.49 ms per token,     4.06 tokens per second)
3.23.477.540 I slot print_timing: id  2 | task 75 |        eval time =   71735.85 ms /   256 tokens (  281.32 ms per token,     3.55 tokens per second)
3.23.477.541 I slot print_timing: id  2 | task 75 |       total time =   75679.71 ms /   272 tokens
3.23.477.542 I slot print_timing: id  2 | task 75 |    graphs reused =        316
3.23.477.570 I slot      release: id  2 | task 75 | stop processing: n_tokens = 271, truncated = 0
3.23.478.201 I slot print_timing: id  3 | task 74 | prompt eval time =    3946.00 ms /    17 tokens (  232.12 ms per token,     4.31 tokens per second)
3.23.478.205 I slot print_timing: id  3 | task 74 |        eval time =   71734.36 ms /   256 tokens (  281.31 ms per token,     3.55 tokens per second)
3.23.478.206 I slot print_timing: id  3 | task 74 |       total time =   75680.37 ms /   273 tokens
3.23.478.206 I slot print_timing: id  3 | task 74 |    graphs reused =        316
3.23.478.231 I slot      release: id  3 | task 74 | stop processing: n_tokens = 272, truncated = 0
3.23.478.823 I slot print_timing: id  4 | task 73 | prompt eval time =    3948.13 ms /    17 tokens (  232.24 ms per token,     4.31 tokens per second)
3.23.478.826 I slot print_timing: id  4 | task 73 |        eval time =   71732.85 ms /   256 tokens (  281.31 ms per token,     3.55 tokens per second)
3.23.478.827 I slot print_timing: id  4 | task 73 |       total time =   75680.98 ms /   273 tokens
3.23.478.827 I slot print_timing: id  4 | task 73 |    graphs reused =        316
3.23.478.848 I slot      release: id  4 | task 73 | stop processing: n_tokens = 272, truncated = 0
3.23.479.416 I slot print_timing: id  5 | task 72 | prompt eval time =    3949.38 ms /    14 tokens (  282.10 ms per token,     3.54 tokens per second)
3.23.479.418 I slot print_timing: id  5 | task 72 |        eval time =   71732.20 ms /   256 tokens (  281.30 ms per token,     3.55 tokens per second)
3.23.479.419 I slot print_timing: id  5 | task 72 |       total time =   75681.57 ms /   270 tokens
3.23.479.420 I slot print_timing: id  5 | task 72 |    graphs reused =        316
3.23.479.442 I slot      release: id  5 | task 72 | stop processing: n_tokens = 269, truncated = 0
3.23.479.875 I slot print_timing: id  6 | task 71 | prompt eval time =    3951.84 ms /    23 tokens (  171.82 ms per token,     5.82 tokens per second)
3.23.479.877 I slot print_timing: id  6 | task 71 |        eval time =   71730.20 ms /   256 tokens (  281.29 ms per token,     3.55 tokens per second)
3.23.479.879 I slot print_timing: id  6 | task 71 |       total time =   75682.03 ms /   279 tokens
3.23.479.879 I slot print_timing: id  6 | task 71 |    graphs reused =        316
3.23.479.906 I slot      release: id  6 | task 71 | stop processing: n_tokens = 278, truncated = 0
3.23.480.495 I slot print_timing: id  7 | task 70 | prompt eval time =    3953.51 ms /    14 tokens (  282.39 ms per token,     3.54 tokens per second)
3.23.480.499 I slot print_timing: id  7 | task 70 |        eval time =   71729.14 ms /   256 tokens (  281.29 ms per token,     3.56 tokens per second)
3.23.480.500 I slot print_timing: id  7 | task 70 |       total time =   75682.65 ms /   270 tokens
3.23.480.501 I slot print_timing: id  7 | task 70 |    graphs reused =        316
